gazetteer_name,place_type,source,match_status,match_method,match_score,osm_name,osm_type,osm_id,osm_class,lon,lat
境域新建宝通路,road,regex,matched,contains,0.429,宝通路,way,343176077,highway:tertiary,120.6468,31.2436335
天灵路至东吴南路支路,road,regex,unmatched,,0,,,,,,
新建宝丰路,road,regex,matched,contains,0.6,宝丰路,way,523332285,highway:tertiary,120.6374388,31.2416867
澄湖中路至东吴南路次干路,road,regex,unmatched,,0,,,,,,
钱家村里浜,waterway,regex,unmatched,,0,,,,,,
金家村16户居民搬迁至朱塔浜,waterway,regex,unmatched,,0,,,,,,
泥河田23户居民先后搬至朱塔浜,waterway,regex,unmatched,,0,,,,,,
中国吴县市环太湖,water,regex,unmatched,,0,,,,,,
世界特技飞行奖大赛在太湖,water,regex,unmatched,,0,,,,,,
国家文物局拨款对宝带桥,bridge,regex,unmatched,,0,,,,,,
宝尹两村,settlement,regex,unmatched,,0,,,,,,
先后搬迁至朱塔浜和钱家新村,residential,regex,unmatched,,0,,,,,,
地处境域石湖东路,road,regex,unmatched,,0,,,,,,
宝南居委会投资建成下田社区,community,regex,unmatched,,0,,,,,,
医务室和老年活动中心,service,regex,unmatched,,0,,,,,,
泥河田38户居民搬迁至下田村,settlement,regex,unmatched,,0,,,,,,
建立中共宝带桥,bridge,regex,unmatched,,0,,,,,,
宝南两个居委会合并为宝带桥,bridge,regex,unmatched,,0,,,,,,
吴中经济开发区管委会授予宝带桥,bridge,regex,unmatched,,0,,,,,,
苏州桥,bridge,regex,unmatched,,0,,,,,,
地处石湖东路,road,regex,review,fuzzy,0.8,石湖东路,node,2716415625,railway:station,120.6254096,31.2555327
中共宝带桥,bridge,regex,review,fuzzy,0.75,宝带桥,way,460257370,tourism:attraction,120.649476,31.2587641
度社会治安安全社区,community,regex,unmatched,,0,,,,,,
境内投资750万元建成地处石湖东路,road,regex,unmatched,,0,,,,,,
下辖宝带桥,bridge,regex,review,fuzzy,0.75,宝带桥,way,460257370,tourism:attraction,120.649476,31.2587641
南石湖,water,regex,unmatched,,0,,,,,,
桂苑等13个社区（村,settlement,regex,unmatched,,0,,,,,,
境内开展新农村,settlement,regex,unmatched,,0,,,,,,
民主法治示范社区,community,regex,unmatched,,0,,,,,,
